Time,Eye contact,Synchrony shift,Section
00:00:04:240,0,0,part1
00:00:04:260,0,0,part1
00:00:04:280,0,0,part1
00:00:04:300,0,0,part1
00:00:04:320,0,0,part1
00:00:04:340,0,0,part1
00:00:04:360,0,0,part1
00:00:04:380,0,0,part1
00:00:04:400,0,0,part1
00:00:04:420,0,0,part1
00:00:04:440,0,0,part1
00:00:04:460,0,0,part1
00:00:04:480,0,0,part1
00:00:04:500,0,0,part1
00:00:04:520,0,0,part1
00:00:04:540,0,0,part1
00:00:04:560,0,0,part1
00:00:04:580,0,0,part1
00:00:04:600,0,0,part1
00:00:04:620,0,0,part1
00:00:04:640,0,0,part1
00:00:04:660,0,0,part1
00:00:04:680,0,0,part1
00:00:04:700,0,0,part1
00:00:04:720,0,0,part1
00:00:04:740,0,0,part1
00:00:04:760,0,0,part1
00:00:04:780,0,0,part1
00:00:04:800,0,0,part1
00:00:04:820,0,0,part1
00:00:04:840,0,0,part1
00:00:04:860,0,0,part1
00:00:04:880,0,0,part1
00:00:04:900,0,0,part1
00:00:04:920,0,0,part1
00:00:04:940,0,0,part1
00:00:04:960,0,0,part1
00:00:04:980,0,0,part1
00:00:05:000,0,0,part1
00:00:05:020,0,0,part1
00:00:05:040,0,0,part1
00:00:05:060,0,0,part1
00:00:05:080,0,0,part1
00:00:05:100,0,0,part1
00:00:05:120,0,0,part1
00:00:05:140,0,0,part1
00:00:05:160,0,0,part1
00:00:05:180,0,0,part1
00:00:05:200,0,0,part1
00:00:05:220,0,0,part1
00:00:05:240,0,0,part1
00:00:05:260,0,0,part1
00:00:05:280,0,0,part1
00:00:05:300,0,0,part1
00:00:05:320,0,0,part1
00:00:05:340,0,0,part1
00:00:05:360,0,0,part1
00:00:05:380,0,0,part1
00:00:05:400,0,0,part1
00:00:05:420,0,0,part1
00:00:05:440,0,0,part1
00:00:05:460,0,0,part1
00:00:05:480,0,0,part1
00:00:05:500,0,0,part1
00:00:05:520,0,0,part1
00:00:05:540,0,0,part1
00:00:05:560,0,0,part1
00:00:05:580,0,0,part1
00:00:05:600,0,0,part1
00:00:05:620,0,0,part1
00:00:05:640,0,0,part1
00:00:05:660,0,0,part1
00:00:05:680,0,0,part1
00:00:05:700,0,0,part1
00:00:05:720,0,0,part1
00:00:05:740,0,0,part1
00:00:05:760,0,0,part1
00:00:05:780,0,0,part1
00:00:05:800,0,0,part1
00:00:05:820,0,0,part1
00:00:05:840,0,0,part1
00:00:05:860,0,0,part1
00:00:05:880,0,0,part1
00:00:05:900,0,0,part1
00:00:05:920,0,0,part1
00:00:05:940,0,0,part1
00:00:05:960,0,0,part1
00:00:05:980,0,0,part1
00:00:06:000,0,0,part1
00:00:06:020,0,0,part1
00:00:06:040,0,0,part1
00:00:06:060,0,0,part1
00:00:06:080,0,0,part1
00:00:06:100,0,0,part1
00:00:06:120,0,0,part1
00:00:06:140,0,0,part1
00:00:06:160,0,0,part1
00:00:06:180,0,0,part1
00:00:06:200,0,0,part1
00:00:06:220,0,0,part1
00:00:06:240,0,0,part1
00:00:06:260,0,0,part1
00:00:06:280,0,0,part1
00:00:06:300,0,0,part1
00:00:06:320,0,0,part1
00:00:06:340,0,0,part1
00:00:06:360,0,0,part1
00:00:06:380,0,0,part1
00:00:06:400,0,0,part1
00:00:06:420,0,0,part1
00:00:06:440,0,0,part1
00:00:06:460,0,0,part1
00:00:06:480,0,0,part1
